PID,app,detect_time,package,type
U00,Maps,2023-02-05 19:16:31.986,com.google.android.apps.maps,TYPE_VIEW_FOCUSED
U00,Maps,2023-02-05 19:16:32.617,com.google.android.apps.maps,TYPE_VIEW_CLICKED
U00,Maps,2023-02-05 19:16:34.644,com.google.android.apps.maps,TYPE_VIEW_FOCUSED
U00,Maps,2023-02-05 19:16:35.129,com.google.android.apps.maps,TYPE_VIEW_CLICKED
U00,Pixel Launcher,2023-02-05 19:16:50.994,com.google.android.apps.nexuslauncher,TYPE_VIEW_CLICKED
U00,Pixel Launcher,2023-02-05 19:16:50.999,com.google.android.apps.nexuslauncher,TYPE_VIEW_FOCUSED
U00,BoredomApp,2023-02-05 19:16:52.261,labelingStudy.nctu.boredom_detection,TYPE_VIEW_CLICKED
U00,BoredomApp,2023-02-05 19:17:33.413,labelingStudy.nctu.boredom_detection,TYPE_VIEW_LONG_CLICKED
U00,BoredomApp,2023-02-05 19:17:35.257,labelingStudy.nctu.boredom_detection,TYPE_VIEW_SCROLLED
U00,BoredomApp,2023-02-05 19:17:40.528,labelingStudy.nctu.boredom_detection,TYPE_VIEW_CLICKED
U00,BoredomApp,2023-02-05 19:17:41.618,labelingStudy.nctu.boredom_detection,TYPE_VIEW_SCROLLED
U00,BoredomApp,2023-02-05 19:17:46.296,labelingStudy.nctu.boredom_detection,TYPE_VIEW_CLICKED
U00,BoredomApp,2023-02-05 19:17:48.150,labelingStudy.nctu.boredom_detection,TYPE_VIEW_SCROLLED
U00,BoredomApp,2023-02-05 19:17:53.488,labelingStudy.nctu.boredom_detection,TYPE_VIEW_CLICKED
U00,System UI,2023-02-05 19:19:18.027,com.android.systemui,TYPE_VIEW_SELECTED
U00,System UI,2023-02-05 19:19:23.764,com.android.systemui,TYPE_VIEW_SCROLLED
U00,System UI,2023-02-05 19:19:30.928,com.android.systemui,TYPE_VIEW_SELECTED
U00,Pixel Launcher,2023-02-05 19:19:40.944,com.google.android.apps.nexuslauncher,TYPE_VIEW_CLICKED
U00,Pixel Launcher,2023-02-05 19:19:40.948,com.google.android.apps.nexuslauncher,TYPE_VIEW_FOCUSED
U00,BoredomApp,2023-02-05 19:19:41.094,labelingStudy.nctu.boredom_detection,TYPE_VIEW_SCROLLED
U00,BoredomApp,2023-02-05 19:19:42.901,labelingStudy.nctu.boredom_detection,TYPE_VIEW_CLICKED
U00,BoredomApp,2023-02-05 19:19:52.449,labelingStudy.nctu.boredom_detection,TYPE_VIEW_CLICKED
U00,BoredomApp,2023-02-05 19:19:54.740,labelingStudy.nctu.boredom_detection,TYPE_VIEW_CLICKED
U00,BoredomApp,2023-02-05 19:19:58.312,labelingStudy.nctu.boredom_detection,TYPE_VIEW_SCROLLED
U00,BoredomApp,2023-02-05 19:19:58.864,labelingStudy.nctu.boredom_detection,TYPE_VIEW_CLICKED
U00,System UI,2023-02-05 19:20:06.293,com.android.systemui,TYPE_VIEW_SCROLLED
U00,System UI,2023-02-05 19:20:45.096,com.android.systemui,TYPE_VIEW_SCROLLED
U00,System UI,2023-02-05 19:22:48.107,com.android.systemui,TYPE_VIEW_SELECTED
U00,System UI,2023-02-05 19:22:51.296,com.android.systemui,TYPE_VIEW_SCROLLED
